,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,MW,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,DC,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0
1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0.0,1.0
2,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
3,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9.0
4,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0
5,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0.0,7.0
6,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0.0,7.0
7,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,3.0
8,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,-12.0
9,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0.0,17.0
10,A,0.0,0.0,7.0,15.0,4.0,8.0,13.0,13.0,6.0,3.0,2.0,2.0,0.0,0.0,2.87,3.4,1.72,2.8,3.45,1.65,2.9,3.2,1.7,2.62,3.3,1.7,2.8,3.25,1.75,2.0,D,D,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.5,0.0,4.0
11,H,1.0,0.0,11.0,15.0,5.0,7.0,14.0,12.0,6.0,6.0,1.0,1.0,1.0,0.0,2.75,3.25,2.37,2.9,3.2,2.3,2.7,3.0,2.2,2.62,3.2,2.3,2.75,3.25,2.35,2.0,L,D,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.5,-0.5,1.0,-0.5,2.0
12,H,1.0,0.0,14.0,12.0,4.0,5.0,17.0,14.0,5.0,2.0,0.0,1.0,1.0,0.0,2.9,4.5,10.0,2.85,4.6,9.0,2.9,3.9,6.0,2.62,4.5,8.0,2.75,4.5,11.0,2.0,W,L,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,1.5,-1.5,3.0,1.5,-7.0
13,H,0.0,1.0,16.0,12.0,7.0,8.0,11.0,15.0,0.0,5.0,3.0,2.0,0.0,0.0,2.4,3.2,2.37,2.2,3.25,2.25,2.5,3.0,2.2,2.3,3.2,2.3,2.35,3.25,2.4,2.0,D,L,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.5,0.5,2.0,0.5,-13.0
14,H,1.0,2.0,12.0,3.0,5.0,2.0,14.0,14.0,6.0,7.0,1.0,0.0,0.0,0.0,1.72,3.25,2.3,1.75,3.25,2.1,1.8,3.0,2.1,1.72,3.2,2.2,1.8,3.25,2.2,2.0,W,D,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,1.0,-7.0
15,D,0.0,0.0,2.0,13.0,1.0,5.0,17.0,11.0,3.0,2.0,1.0,0.0,1.0,0.0,8.0,3.2,2.5,9.0,3.3,2.2,5.4,3.0,2.3,7.0,3.2,2.3,7.5,3.25,2.4,2.0,L,W,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,-1.5,1.5,-1.5,-1.5,-4.0
16,H,1.0,0.0,11.0,4.0,6.0,2.0,23.0,17.0,2.0,5.0,2.0,2.0,0.0,1.0,2.5,3.2,2.87,2.4,3.35,2.9,2.5,3.0,2.5,2.3,3.1,2.75,2.4,3.25,2.8,2.0,W,D,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,1.0,-1.0,2.5,1.0,2.0
17,H,0.0,0.0,13.0,11.0,3.0,7.0,11.0,13.0,6.0,7.0,3.0,0.0,0.0,0.0,5.0,3.2,2.75,4.8,3.25,2.65,4.2,3.0,2.5,4.33,3.2,2.62,5.0,3.25,2.75,2.0,D,L,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.5,1.0
18,A,2.0,0.0,13.0,10.0,6.0,5.0,16.0,15.0,8.0,8.0,2.0,3.0,0.0,0.0,3.0,3.4,5.0,3.15,3.35,4.35,3.1,3.1,3.8,2.8,3.2,4.33,3.1,3.3,4.5,2.0,D,L,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,1.0,-1.0,-1.0,0.5,2.0
19,H,0.0,0.0,20.0,15.0,9.0,12.0,7.0,15.0,6.0,8.0,0.0,0.0,0.0,0.0,1.33,4.2,1.4,1.3,4.0,1.35,1.4,3.8,1.45,1.28,3.75,1.4,1.3,3.8,1.45,2.0,W,W,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.5,0.5,1.5,0.0,-1.0
20,A,1.0,0.0,9.0,12.0,2.0,3.0,7.0,10.0,9.0,6.0,3.0,1.0,0.0,0.0,2.2,3.3,4.0,2.15,3.1,4.0,2.2,3.1,3.5,2.2,3.3,3.75,2.1,3.25,4.0,3.0,L,L,D,D,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.3333333333333333,-1.0,-1.0,0.0,5.0
21,D,0.0,0.0,10.0,3.0,2.0,3.0,19.0,21.0,3.0,7.0,3.0,1.0,0.0,0.0,3.25,5.5,13.0,3.1,5.0,10.0,3.1,4.3,8.5,3.0,4.5,8.0,3.4,5.0,13.0,3.0,L,L,L,D,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,6.0
22,A,0.0,1.0,2.0,9.0,0.0,6.0,20.0,12.0,5.0,4.0,3.0,1.0,1.0,0.0,10.0,3.2,3.25,9.0,3.1,3.2,7.5,3.0,2.9,8.0,3.1,2.87,12.0,3.25,3.4,3.0,L,W,L,D,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-2.3333333333333335,-1.3333333333333333,10.0
23,H,0.0,0.0,9.0,8.0,3.0,4.0,21.0,14.0,7.0,1.0,3.0,2.0,0.0,0.0,3.75,3.2,3.75,4.3,3.1,4.0,3.7,3.1,3.5,3.75,3.25,3.3,3.75,3.3,4.0,3.0,L,L,W,D,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6666666666666667,0.6666666666666666,-11.0
24,D,1.0,0.0,16.0,18.0,9.0,8.0,26.0,16.0,8.0,5.0,2.0,3.0,0.0,0.0,2.0,3.3,1.9,1.9,3.1,1.9,1.9,3.1,1.9,1.95,3.3,1.8,1.9,3.25,1.9,3.0,W,W,L,W,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,-1.0,-1.0,6.0
25,H,0.0,0.0,16.0,14.0,6.0,6.0,10.0,9.0,8.0,10.0,0.0,1.0,0.0,0.0,2.1,3.6,1.61,2.2,3.5,1.6,2.0,3.3,1.65,2.05,3.0,1.7,2.1,3.6,1.55,3.0,L,D,D,L,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.6666666666666666,-1.0,1.0,0.0,-8.0
26,H,0.0,1.0,9.0,6.0,6.0,2.0,17.0,21.0,3.0,3.0,2.0,4.0,0.0,0.0,2.0,3.2,2.2,1.8,3.0,2.25,1.9,3.0,2.1,1.83,3.2,2.1,2.0,3.25,2.1,3.0,W,W,W,D,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,-16.0
27,H,0.0,1.0,3.0,16.0,3.0,9.0,21.0,26.0,7.0,8.0,1.0,2.0,0.0,0.0,13.0,3.2,2.0,10.0,3.1,1.9,8.5,3.1,1.9,8.0,3.25,1.95,13.0,3.3,1.9,3.0,L,W,D,L,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-5.0
28,H,0.0,0.0,8.0,3.0,4.0,1.0,14.0,13.0,1.0,3.0,2.0,1.0,0.0,0.0,3.75,3.2,3.5,4.0,3.1,3.1,3.5,3.1,3.2,3.3,3.2,3.1,4.0,3.25,3.4,3.0,L,W,D,L,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.0,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,9.0
29,H,1.0,0.0,9.0,10.0,6.0,2.0,12.0,19.0,4.0,3.0,1.0,3.0,0.0,0.0,3.25,3.2,3.25,3.2,3.0,3.1,2.9,3.0,3.1,2.87,3.2,3.0,3.4,3.25,3.4,3.0,W,L,D,L,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,2.0,1.3333333333333333,-8.0
30,A,0.0,2.0,1.0,11.0,1.0,8.0,12.0,10.0,0.0,9.0,2.0,0.0,0.0,0.0,2.6,5.5,1.2,2.3,6.0,1.15,2.3,5.5,1.17,2.3,6.0,1.14,2.4,6.0,1.17,4.0,D,W,W,W,W,W,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.5,0.5,-1.25,-0.5,8.0
31,A,0.0,0.0,0.0,14.0,0.0,8.0,7.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,17.0,3.2,2.5,15.0,3.2,2.25,11.0,3.0,2.3,12.0,3.1,2.3,17.0,3.25,2.35,4.0,L,L,W,L,D,D,M,M,M,M,0,0,0,0,0,0,0,0,0,0.25,0.25,0.0,0.75,5.0
32,A,0.0,1.0,13.0,14.0,6.0,6.0,13.0,12.0,7.0,4.0,1.0,0.0,0.0,0.0,2.5,3.25,2.3,2.4,3.25,2.1,2.4,3.1,2.0,2.4,3.2,2.1,2.6,3.25,2.25,4.0,L,W,D,L,W,D,M,M,M,M,0,0,0,0,0,0,0,0,0,1.25,0.75,0.0,0.0,12.0
33,H,1.0,1.0,11.0,15.0,5.0,10.0,11.0,10.0,0.0,5.0,3.0,1.0,0.0,0.0,2.1,3.2,2.75,2.15,3.25,2.5,1.9,3.0,2.5,1.95,3.1,2.62,2.1,3.25,2.75,4.0,W,L,L,L,L,L,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.75,-0.25,1.5,0.75,0.0
34,A,2.0,1.0,8.0,12.0,3.0,8.0,15.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,2.75,3.3,4.33,2.9,3.3,3.9,2.7,3.1,3.2,2.75,3.2,3.75,2.8,3.4,4.0,4.0,W,W,L,W,D,W,M,M,M,M,0,0,0,0,0,0,0,0,0,-0.75,1.5,-2.0,-1.25,-4.0
35,A,0.0,0.0,7.0,11.0,4.0,5.0,17.0,16.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,3.6,1.66,3.15,3.35,1.65,3.2,3.2,1.7,3.0,3.3,1.57,3.0,3.5,1.65,4.0,L,W,D,W,L,W,M,M,M,M,0,0,0,0,0,0,0,0,0,-1.25,0.5,-2.25,-2.0,11.0
